CustomerID	Country	I	Iu	Imax	E1	E2	TotalCost	Mep	Lep	AvgUP	TotCart	AvgCart
17850.0	United Kingdom	1733	21	40	2,668813586838044	0,8112781244591328	5391,210000000009	35,75	1,06	3,9603703703703643	34	2,8333333333333335
13047.0	United Kingdom	1390	105	12	1,6632350976655021	0,0	3232,590000000001	12,75	0,42	3,926081871345028	9	0,75
12583.0	France	5028	114	12	0,0	1,0	6705,379999999994	16,95	0,06	2,1404741379310326	15	1,25
13748.0	United Kingdom	439	24	88	0,0	0,4689955935892812	948,2499999999998	14,95	0,39	3,9964285714285723	5	0,4166666666666667
15100.0	United Kingdom	80	1	88	2,670152206764001	1,0	876,0	10,95	10,95	10,949999999999998	3	0,25
15291.0	United Kingdom	2102	61	12	0,0	0,9182958340544896	4623,300000000002	14,95	0,29	4,702254901960782	14	1,1666666666666667
14688.0	United Kingdom	3621	148	102	0,0	0,0	5630,869999999997	25,0	0,19	2,1310397553516824	21	1,75
17809.0	United Kingdom	2057	46	12	0,0	0,9182958340544896	5411,910000000001	8,25	0,21	2,9057377049180317	12	1,0
15311.0	United Kingdom	38194	567	96	0,81672025495387	0,7219280948873623	60767,90000000011	14,95	0,12	2,5060361496426773	91	7,583333333333333
16098.0	United Kingdom	613	34	12	0,0	1,0	2005,6300000000003	21,95	0,29	4,42462686567164	7	0,5833333333333334
18074.0	United Kingdom	190	13	56	0,9737774317746632	1,0	489,6	12,75	0,65	4,7807692307692315	1	0,08333333333333333
17420.0	United Kingdom	265	28	12	1,8352034962941168	0,0	598,8300000000002	19,95	1,25	3,8813333333333326	3	0,25
16029.0	United Kingdom	35407	42	64	1,525367400734721	0,6500224216483541	68370,08999999997	8,49	1,06	2,4174058577405866	61	5,083333333333333
16250.0	United Kingdom	208	22	12	0,0	0,7219280948873623	389,44000000000005	7,95	0,42	3,0883333333333334	2	0,16666666666666666
12431.0	Australia	2899	162	88	3,2760236110991467	0,0	6382,449999999999	16,95	0,42	3,6887982832618067	15	1,25
13705.0	United Kingdom	363	25	82	1,8690333345822783	0,9182958340544896	711,8600000000001	165,0	0,65	7,6085714285714285	3	0,25
13747.0	United Kingdom	8	1	12	0,0	0,6098403047164004	79,6	9,95	9,95	9,95	1	0,08333333333333333
13408.0	United Kingdom	16232	234	86	0,0	0,5032583347756457	28117,039999999983	34,95	0,29	2,4391004184100433	62	5,166666666666667
13767.0	United Kingdom	7322	55	12	1,5935678618210158	0,0	17220,360000000008	12,75	0,42	3,713532608695657	37	3,0833333333333335
17924.0	United Kingdom	1160	26	88	0,0	0,8112781244591328	2962,5000000000005	8,15	0,29	3,2464516129032264	7	0,5833333333333334
13448.0	United Kingdom	1660	137	12	1,5308364627347673	0,0	3539,370000000002	16,95	0,14	3,1822051282051285	6	0,5
15862.0	United Kingdom	585	142	108	0,0	0,8112781244591328	832,88	16,95	0,16	2,737891156462583	4	0,3333333333333333
15513.0	United Kingdom	5709	183	12	0,0	0,8112781244591328	14758,219999999998	165,0	0,39	4,107370129870138	19	1,5833333333333333
12791.0	Netherlands	96	1	92	0,999627371057461	0,5665095065529053	177,60000000000002	1,85	1,85	1,85	1	0,08333333333333333
16218.0	United Kingdom	2088	56	12	0,9416918355833501	0,0	3084,6800000000017	8,15	0,55	1,6713095238095244	7	0,5833333333333334
14045.0	United Kingdom	535	4	118	0,0	0,0	1659,75	8,5	1,65	4,233333333333333	4	0,3333333333333333
14307.0	United Kingdom	2058	150	12	0,9991249430255705	0,9709505944546686	2995,7200000000007	16,95	0,21	2,4864444444444413	6	0,5
17908.0	United Kingdom	173	51	104	1,9908255043953687	1,0	243,2799999999999	7,95	0,12	2,67258620689655	1	0,08333333333333333
17920.0	United Kingdom	2514	406	12	1,1588548544798885	0,7219280948873623	4192,199999999988	16,95	0,12	2,3277697841726694	17	1,4166666666666667
12838.0	United Kingdom	359	115	76	1,560960532522733	0,9182958340544896	683,1299999999994	16,95	0,29	2,3197560975609752	2	0,16666666666666666
13255.0	United Kingdom	177	13	12	0,999806132804711	0,6500224216483541	399,51	14,95	0,65	4,959999999999999	2	0,16666666666666666
16583.0	United Kingdom	111	14	141	0,9682452182690405	0,0	233,45000000000002	4,95	1,25	2,5642857142857145	1	0,08333333333333333
18085.0	United Kingdom	265	25	24	2,2393179680433173	0,8112781244591328	689,95	5,95	0,65	2,8448275862068977	2	0,16666666666666666
13758.0	United Kingdom	1844	104	83	0,0	0,5916727785823273	3190,550000000001	16,95	0,21	3,287948717948716	7	0,5833333333333334
13694.0	United Kingdom	63312	366	15	0,0	0,3095434291503252	65039,620000000024	12,75	0,04	1,5689964788732382	50	4,166666666666667
15983.0	United Kingdom	892	82	3	1,8379507888751767	0,6500224216483541	1475,02	10,4	0,42	2,1008849557522113	4	0,3333333333333333
14849.0	United Kingdom	5694	159	211	0,7651973891338699	0,0	7930,539999999996	12,75	0,29	2,4403092783505174	25	2,0833333333333335
17968.0	United Kingdom	160	74	193	3,2318688515252023	0,4689955935892812	277,34999999999997	7,95	0,29	1,929176470588234	1	0,08333333333333333
16210.0	United Kingdom	7558	73	176	0,9904056809813824	0,8112781244591328	21076,299999999996	12,75	0,39	3,706475409836064	17	1,4166666666666667
17897.0	United Kingdom	229	100	174	0,0	0,8112781244591328	566,5999999999999	39,95	0,29	3,0799122807017536	3	0,25
17377.0	United Kingdom	2076	190	309	1,8292803517329117	0,9182958340544896	4100,919999999995	9,95	0,29	2,604186602870819	20	1,6666666666666667
